Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,12.6862687216715,6.78459655001655,8.68057078513406,26.4186641547444,-6.81116108898996,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580623924.1,2587774666.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3040072312.4,3555784339.6,3393247241.7,3428116975.5
Afghanistan,AFG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,..,..,..,..,..,..,..,..,3042274496.10726,4265888740.23846,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,..,..,..
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,17.97,18.135,14.9175,15,15.6122222222222,15.1458333333333,15,15.0791666666667,15,15,15,14.8366666666667,..,..,..,..,..,..
Afghanistan,AFG,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5365.48934672897,5460.42823730592,5370.77862312929,6413.28328605026,6846.42614266044,8575.17113446213
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0500181363468238,3.10758827031434,7.77052583431552,0.484002611818478,2.28001916938101,2.36658195679795,2.37072831904282,2.93268248162323,3.32087090389265,2.26692209450831,3.6271009151748,3.42807130141503,2.03159268395296,1.93762080205223,1.62586504402604,3.50120835492657,-0.367317209784652,2.06059845920226,2.02805963071135,1.41109078954251,1.62088661717004,2.04147163139545,6.7252027153006,4.75976421930106
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,69.6376739165201,63.6691526405469,70.5807697920008,73.3202274771466,79.8644181475793,80.7355819675527,75.8887278169195,63.6337624893814,74.8082829284774,83.4542023884025,81.9201331889469,..,..
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1122051223.3,1154309753.2,1180426821.7,1550382967.9,1603744698.8,2126166749.1,2517100832.6,2966604307.7,4256899002.8,4605163641.8,5436572731.8,6484194296.1,7384475899.5,8647046116.3,8512452310,8446920542.7,8516067178,9801181001.7,9650813200.5,9274269395.1,10477224919.8,11054752381.6,10420193315.8,11363954732.5
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,646305676.491804,770581227.384293,866478231.283188,1038294231.23302,1387912853.56431,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085,5266463583.50313,6455445543.45668
